user	items	relevance
continuous	continuous	continuous
row=1	col=1	class
89	0	1
94	0	1
100	0	1
163	0	1
164	0	1
195	0	1
199	0	1
214	0	1
215	0	1
242	0	1
286	0	1
287	0	1
1705	0	1
2316	0	1
2526	0	1
309	2	1
323	2	1
336	2	1
377	3	1
423	4	1
433	4	1
167	5	1
181	5	1
227	5	1
391	6	1
718	6	1
932	6	1
976	6	1
1043	6	1
1056	6	1
1212	6	1
1249	6	1
1391	6	1
1418	6	1
1663	6	1
2181	6	1
2543	6	1
279	8	1
310	8	1
521	8	1
566	8	1
1424	8	1
2268	8	1
2966	8	1
3104	8	1
117	9	1
466	9	1
2064	9	1
600	11	1
627	15	1
189	18	1
236	18	1
255	18	1
579	18	1
640	18	1
656	18	1
54	19	1
382	19	1
58	20	1
484	20	1
36	22	1
107	22	1
111	22	1
112	22	1
180	22	1
227	22	1
242	22	1
297	22	1
437	22	1
449	22	1
514	22	1
651	22	1
678	22	1
681	22	1
682	22	1
700	22	1
705	22	1
728	22	1
739	22	1
743	22	1
747	22	1
771	22	1
808	22	1
820	22	1
836	22	1
883	22	1
1136	22	1
1220	22	1
1248	22	1
1315	22	1
1383	22	1
1415	22	1
1524	22	1
1551	22	1
1663	22	1
1750	22	1
1845	22	1
2030	22	1
2065	22	1
2138	22	1
2180	22	1
2291	22	1
2320	22	1
2364	22	1
2374	22	1
2761	22	1
2811	22	1
3074	22	1
3231	22	1
3663	22	1
3669	22	1
3696	22	1
3958	22	1
4045	22	1
4167	22	1
4389	22	1
31	26	1
65	26	1
255	26	1
266	26	1
592	26	1
612	26	1
856	26	1
1841	26	1
1986	26	1
2740	26	1
1	28	1
10	28	1
171	28	1
320	28	1
335	28	1
388	28	1
432	28	1
763	28	1
1313	28	1
1442	28	1
1576	28	1
1641	28	1
1844	28	1
2147	28	1
2152	28	1
2307	28	1
2485	28	1
2574	28	1
2678	28	1
2872	28	1
3147	28	1
3148	28	1
3193	28	1
3196	28	1
3199	28	1
3217	28	1
3434	28	1
160	29	1
691	29	1
711	29	1
890	29	1
1710	29	1
176	30	1
184	30	1
903	30	1
911	30	1
1048	30	1
23	31	1
48	31	1
257	31	1
1441	31	1
708	32	1
937	36	1
17	37	1
235	37	1
299	37	1
582	37	1
855	37	1
949	37	1
1517	37	1
1574	37	1
273	38	1
337	38	1
98	39	1
1530	39	1
2970	39	1
458	40	1
817	40	1
2065	40	1
399	41	1
689	41	1
907	41	1
656	43	1
164	44	1
192	44	1
1000	44	1
149	45	1
1907	45	1
2283	45	1
2437	45	1
3993	45	1
84	46	1
445	46	1
962	46	1
814	47	1
1410	47	1
26	49	1
63	49	1
203	49	1
217	49	1
590	49	1
881	49	1
1009	49	1
1251	49	1
25	50	1
30	50	1
50	50	1
85	50	1
159	50	1
168	50	1
212	50	1
477	50	1
514	50	1
761	50	1
947	50	1
1017	50	1
1053	50	1
1063	50	1
1065	50	1
1654	50	1
1834	50	1
3506	50	1
4325	50	1
1600	51	1
3582	51	1
3749	51	1
1478	52	1
3286	52	1
3519	52	1
3745	52	1
93	55	1
337	55	1
732	55	1
1395	55	1
1989	55	1
1099	56	1
116	57	1
722	57	1
1753	57	1
252	58	1
256	58	1
1650	58	1
2543	58	1
177	59	1
249	59	1
261	59	1
281	59	1
296	59	1
349	59	1
381	59	1
580	59	1
594	59	1
681	59	1
697	59	1
718	59	1
773	59	1
778	59	1
907	59	1
993	59	1
1123	59	1
1127	59	1
1276	59	1
1282	59	1
1416	59	1
1565	59	1
1812	59	1
1814	59	1
1864	59	1
1883	59	1
1959	59	1
2239	59	1
2497	59	1
2521	59	1
2619	59	1
3082	59	1
3085	59	1
3126	59	1
3467	59	1
3649	59	1
4169	59	1
4224	59	1
4460	59	1
0	60	1
19	60	1
436	61	1
1173	61	1
898	62	1
1196	62	1
319	63	1
0	64	1
48	64	1
75	64	1
77	64	1
221	64	1
332	64	1
333	64	1
463	64	1
465	64	1
631	64	1
859	64	1
873	64	1
902	64	1
930	64	1
974	64	1
1090	64	1
1278	64	1
1319	64	1
1341	64	1
1376	64	1
1536	64	1
1596	64	1
1618	64	1
1716	64	1
1768	64	1
1813	64	1
1862	64	1
1911	64	1
2331	64	1
2354	64	1
2786	64	1
3169	64	1
3423	64	1
3644	64	1
457	65	1
110	66	1
494	66	1
516	66	1
715	66	1
791	66	1
868	66	1
1099	66	1
1212	66	1
1221	66	1
1222	66	1
1224	66	1
1234	66	1
1242	66	1
3704	66	1
1275	68	1
143	70	1
237	70	1
661	70	1
852	70	1
931	70	1
965	70	1
1253	70	1
1254	70	1
1278	70	1
1370	70	1
1288	71	1
105	72	1
165	72	1
317	72	1
332	72	1
731	72	1
763	72	1
1171	72	1
1241	72	1
1860	72	1
2105	72	1
2157	72	1
2171	72	1
2371	72	1
2719	72	1
3813	72	1
4007	72	1
76	73	1
91	73	1
140	73	1
207	73	1
492	73	1
691	73	1
724	73	1
1323	73	1
1975	73	1
2043	73	1
2268	73	1
3308	73	1
15	75	1
220	75	1
356	75	1
1320	75	1
502	76	1
531	76	1
991	76	1
1043	76	1
1276	76	1
1329	76	1
1664	76	1
3458	76	1
3460	76	1
118	77	1
348	77	1
1353	77	1
3242	77	1
3437	77	1
852	79	1
867	79	1
1465	79	1
65	80	1
70	80	1
1040	80	1
1420	80	1
39	84	1
51	84	1
76	84	1
188	84	1
189	84	1
286	84	1
478	84	1
667	84	1
952	84	1
1000	84	1
1009	84	1
1010	84	1
1365	84	1
1535	84	1
1703	84	1
1760	84	1
2159	84	1
3042	84	1
4337	84	1
162	86	1
198	86	1
208	86	1
314	86	1
356	86	1
693	86	1
738	86	1
826	86	1
1382	86	1
1383	86	1
